,Model Name,Covariates,Log-Likelihood,AIC,BIC,SSE,PSSE,Critic (Mean),Critic (Median)
42,GM,"E, F, C",-59.65299738170992,129.30599476341985,136.47593078584558,744.9429277885567,99.51299090696926,0.9984661920385948,0.9988101829704079
43,NB2,None,-83.71412711055191,171.42825422110383,174.29622863007413,1599.4963565014386,81.07916503092832,0.9908119076683066,0.9925917025789658
44,NB2,E,-82.21237089694878,170.42474179389757,174.726703407353,1794.3658084639974,568.5488492494878,0.9902074921344524,0.9930097249843486
45,NB2,F,-73.31282715242205,152.6256543048441,156.92761591829952,1732.7701550613651,90.26590858712672,0.992296743219552,0.9954869637326872
46,NB2,C,-80.46046559821022,166.92093119642044,171.22289280987587,1905.0087165906975,490.8730496208927,0.9901595817178934,0.9934973778139808
47,NB2,"E, F",-73.2758100820345,154.551620164069,160.2875689820096,1705.8393288275383,154.15761588095762,0.992215977925601,0.9954929595008686
48,NB2,"E, C",-80.34708790607712,168.69417581215424,174.43012463009484,1958.5434060757093,218.7989259311322,0.9897938030986617,0.993522745728569
49,NB2,"F, C",-73.27630187605897,154.55260375211793,160.28855257005853,1750.857705509141,18.552729210803907,0.9920474942214271,0.9954928224762198
50,NB2,"E, F, C",-73.20436720941038,156.40873441882076,163.5786704412465,1714.7551914891667,13.139880505288426,0.9920083268485754,0.9950344728183783
51,TL,None,-74.98171479631347,155.96342959262694,160.26539120608237,917.0677319250764,7.7352255634428895,0.9949991082024531,0.9950224193406655
52,TL,E,-72.69717594367128,153.39435188734257,159.13030070528316,1110.3902872086012,68.46604933684395,0.9945639799531525,0.9956541797183305
53,TL,F,-59.661722457428624,127.32344491485725,133.05939373279784,759.6549462658915,10.438587425940467,0.9985985684082583,0.9992861442127028
54,TL,C,-71.58737895172445,151.1747579034489,156.9107067213895,1288.2001804946608,77.57114092889915,0.9941307282064412,0.9959633936075877
55,TL,"E, F",-59.66096674603645,129.3219334920729,136.49186951449863,755.1557572358219,11.448089346631633,0.9984263286986556,0.9988079625299524
56,TL,"E, C",-71.00164871883848,152.00329743767696,159.1732334601027,1373.0288228390446,26.42046504184522,0.9937465629627198,0.9956481987127094
57,TL,"F, C",-59.65305630992228,129.30611261984455,136.47604864227029,745.9384418344032,108.89322557895332,0.9984624562366388,0.99881016655171
